Date,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Source_File
2008-11-01,55.88652482269504,776.9964539007092,352.7163120567376,104.59219858156028,421.4858156028369,269.3510638297872,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2008-12-01,53.97849462365591,768.6093189964158,307.06451612903226,99.60573476702508,391.1362007168459,230.415770609319,monthly_daylight_avg_623099_40.01_-99.74_2008.csv
2009-01-01,52.4695945945946,772.706081081081,326.6756756756757,96.6587837837838,399.6283783783784,241.36486486486487,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-02-01,66.69337979094077,805.6864111498257,422.89547038327527,127.34146341463416,411.25087108013935,322.29965156794424,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-03-01,85.12876712328767,765.5013698630137,498.0520547945205,153.3890410958904,401.3808219178082,375.1506849315069,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-04-01,114.26735218508998,705.0925449871465,557.9100257069409,158.7892030848329,405.254498714653,416.3033419023136,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-05-01,110.95936794582391,678.7088036117382,569.8487584650113,158.98871331828445,414.8194130925508,446.2731376975169,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-06-01,100.43333333333334,678.1466666666666,564.8288888888889,159.8,375.9933333333333,423.2022222222223,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-07-01,95.23991031390136,703.8026905829596,570.1390134529148,142.72869955156952,497.73991031390136,486.6479820627803,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-08-01,93.44096385542169,710.510843373494,549.3156626506025,135.60722891566266,542.3301204819277,486.4361445783133,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-09-01,98.18801089918256,676.0245231607629,489.7820163487738,163.83378746594005,343.56948228882834,362.3324250681199,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-10-01,65.65882352941176,761.4852941176471,424.58235294117645,88.85588235294118,348.90588235294115,253.30882352941177,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-11-01,57.98581560283688,771.0390070921986,353.0070921985816,88.42198581560284,482.8758865248227,273.84397163120565,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2009-12-01,61.630824372759854,753.8279569892474,310.5268817204301,78.18637992831542,183.5089605734767,134.38709677419354,monthly_daylight_avg_623099_40.01_-99.74_2009.csv
2010-01-01,57.20338983050848,760.9593220338983,328.23728813559325,108.47457627118644,250.4,196.28474576271188,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-02-01,75.71678321678321,785.3216783216783,423.4825174825175,122.3041958041958,327.81468531468533,270.0104895104895,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-03-01,83.84109589041095,762.0,495.6027397260274,141.0904109589041,295.3643835616438,309.6657534246575,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-04-01,110.55269922879178,708.4473007712082,555.0179948586118,178.30334190231363,419.09768637532136,444.6041131105399,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-05-01,101.88487584650112,701.3814898419864,573.9593679458239,149.39729119638827,445.1354401805869,451.74040632054175,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-06-01,97.06,683.2755555555556,564.3533333333334,149.16666666666666,480.5777777777778,487.79777777777775,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-07-01,88.74215246636771,713.9394618834081,569.2937219730942,147.6390134529148,494.1255605381166,480.7174887892377,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-08-01,84.53125,730.8485576923077,549.7067307692307,143.65144230769232,543.5384615384615,489.7331730769231,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-09-01,75.67302452316076,743.700272479564,500.2261580381472,112.73569482288828,551.4468664850136,425.9727520435968,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-10-01,61.59705882352941,774.35,425.3794117647059,96.4235294117647,592.1764705882352,381.27647058823527,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-11-01,54.4113475177305,798.0673758865248,359.24468085106383,89.87943262411348,470.3120567375887,277.7659574468085,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2010-12-01,52.88172043010753,759.5376344086021,303.56272401433694,103.72759856630825,317.0501792114695,210.2652329749104,monthly_daylight_avg_623099_40.01_-99.74_2010.csv
2011-01-01,57.06440677966102,765.7084745762712,329.271186440678,93.13220338983052,406.7661016949153,240.5661016949153,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-02-01,67.1958041958042,832.1468531468531,431.6958041958042,113.43006993006992,463.5,320.1048951048951,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-03-01,88.41917808219178,747.972602739726,493.33698630136985,146.43835616438355,318.6438356164384,324.02465753424656,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-04-01,110.41131105398458,715.719794344473,556.9203084832905,166.40359897172235,376.4730077120823,406.0616966580977,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-05-01,109.30474040632056,687.4198645598194,574.1309255079007,170.62979683972912,389.6749435665914,440.647855530474,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-06-01,121.48,629.8666666666667,557.0955555555555,169.59555555555556,452.74444444444447,490.5288888888889,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-07-01,101.53691275167785,674.4519015659955,560.6308724832214,148.8791946308725,491.0402684563758,495.4228187919463,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-08-01,94.7764423076923,694.3149038461538,541.5961538461538,144.99519230769232,511.7379807692308,474.0817307692308,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-09-01,80.9320652173913,732.5516304347826,500.9972826086956,112.67934782608695,508.88315217391306,400.0326086956522,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-10-01,64.39117647058823,764.364705882353,425.38235294117646,94.84117647058824,536.4323529411764,352.78823529411767,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-11-01,58.99293286219081,778.9681978798586,357.565371024735,99.12014134275618,462.47703180212017,284.4028268551237,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2011-12-01,57.0,752.4014336917563,305.44086021505376,80.76344086021506,428.5340501792115,222.88888888888889,monthly_daylight_avg_623099_40.01_-99.74_2011.csv
2012-01-01,50.172881355932205,783.0847457627119,326.7322033898305,98.54915254237288,458.8508474576272,268.8,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-02-01,73.3951048951049,794.1958041958042,423.26573426573424,104.92307692307692,387.3706293706294,280.8251748251748,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-03-01,75.98907103825137,784.6284153005464,497.7568306010929,136.8415300546448,499.09289617486337,409.2950819672131,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-04-01,111.08205128205128,703.0769230769231,552.751282051282,157.77179487179487,408.4846153846154,418.0948717948718,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-05-01,108.06094808126412,692.3250564334086,574.8306997742663,156.40180586907448,520.6659142212189,514.0225733634312,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-06-01,108.52666666666669,666.3333333333334,565.5644444444445,144.56222222222223,528.6844444444445,512.4022222222222,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-07-01,98.7511210762332,697.6883408071749,569.322869955157,118.66816143497758,610.9887892376681,539.5089686098655,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-08-01,108.87951807228916,674.5614457831325,543.8048192771084,141.43855421686746,527.9277108433735,484.8289156626506,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-09-01,92.01362397820164,705.7874659400545,495.9618528610354,128.64305177111717,542.6239782016348,444.0599455040872,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-10-01,62.59117647058824,773.8823529411765,424.8411764705882,105.7235294117647,499.6470588235294,343.40588235294115,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-11-01,53.804964539007095,789.8439716312057,354.709219858156,104.63475177304964,501.677304964539,307.3617021276596,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2012-12-01,55.08960573476703,761.5985663082437,306.47670250896056,94.25448028673836,371.13978494623655,220.71326164874552,monthly_daylight_avg_623099_40.01_-99.74_2012.csv
2013-01-01,53.858108108108105,785.5371621621622,331.9493243243243,94.98648648648648,403.8175675675676,238.1824324324324,monthly_daylight_avg_623099_40.01_-99.74_2013.csv
