Date,Temperature (F),Price ($/Mcf),Imports (MMcf),Production (MMcf),Solar Generation (1000 MWh),Consumption (MMcf),Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Natural Gas Generation (1000 MWh),Natural Gas Avg Cost ($/Mcf)
2015-07-01,53.51,2.66,216973.0,145008.0,2627.06355,1045542.0,98.3744394618834,691.7735426008969,566.5627802690583,148.35201793721973,500.4170403587444,496.13004484304935,141241.24634,3.22
2015-08-01,53.56,2.74,213875.0,145173.0,2687.55324,1026590.0,108.4110576923077,666.6538461538462,539.6490384615385,143.82932692307693,509.5480769230769,478.05288461538464,139215.8854,3.22
2015-09-01,53.76,2.75,208818.0,141377.0,2217.1241,895044.0,81.3586956521739,711.820652173913,490.2282608695652,133.6983695652174,457.1902173913044,399.2364130434783,123110.83138,3.17
2015-10-01,53.79,3.23,226286.0,145025.0,1909.57979,791541.0,65.40588235294118,750.25,418.77647058823527,105.8970588235294,475.41470588235296,333.2235294117648,110109.75303,3.02
2015-11-01,54.23,2.4,218242.0,139758.0,1729.6613,732413.0,56.8339222614841,778.5406360424029,355.4840989399293,79.24028268551237,489.2685512367491,265.70318021201416,102368.84183,2.74
2015-12-01,54.38,2.28,227257.0,144425.0,1569.89498,768606.0,52.22939068100359,766.6308243727599,304.98566308243727,94.43727598566308,368.61290322580646,218.3584229390681,109892.10285,2.68
2016-01-01,54.31,2.8,273600.0,155035.0,1485.80182,773954.0,55.5728813559322,760.2372881355932,325.5728813559322,97.8406779661017,366.64406779661016,234.1084745762712,110043.74673,3.13
2016-02-01,54.85,2.43,251775.0,147087.0,2241.56342,689800.0,62.94755244755245,823.1468531468531,423.6468531468532,105.63286713286712,462.1468531468532,316.24475524475525,98688.19908,2.79
2016-03-01,55.03,1.73,240764.0,155455.0,2617.45225,744765.0,71.95901639344262,803.016393442623,501.77868852459017,130.8224043715847,496.4945355191257,409.96448087431696,103933.12256,2.3
2016-04-01,55.02,1.61,241317.0,150335.0,2879.68187,718893.0,95.70769230769233,746.4538461538461,560.3128205128205,144.6871794871795,443.4051282051282,423.4923076923077,98973.7993,2.5
2016-05-01,54.98,1.55,248317.0,153577.0,3425.18345,804431.0,99.38063063063063,705.0653153153153,573.5157657657658,154.11711711711712,396.5045045045045,431.8310810810811,110518.5333,2.47
2016-06-01,55.01,1.9,241885.0,147199.0,3473.49784,970308.0,96.85777777777778,688.3577777777778,565.8444444444444,119.72888888888887,587.4466666666667,536.8111111111111,131522.99713,2.75
2016-07-01,55.12,2.35,265022.0,153350.0,3944.79289,1139968.0,95.79596412556054,697.4775784753364,566.4215246636771,134.7645739910314,496.3318385650224,484.13004484304935,151716.16396,3.07
2016-08-01,55.17,2.42,261983.0,152134.0,3969.18623,1151236.0,90.60963855421689,708.6,544.8746987951807,143.9855421686747,437.73493975903614,427.6096385542169,154926.02521,3.06
2016-09-01,55.06,2.47,238491.0,146252.0,3635.06928,915286.0,76.12806539509536,738.1198910081744,495.7820163487738,119.5967302452316,492.2970027247956,397.84196185286106,125683.45081,3.18
2016-10-01,55.1,2.59,231449.0,150534.0,3191.22418,743796.0,60.03529411764706,769.9,420.1735294117647,109.5264705882353,510.1676470588236,355.4264705882353,102897.98607,3.23
2016-11-01,55.38,2.7,231044.0,146894.0,2767.14449,662046.0,54.09929078014184,781.5957446808511,351.63829787234044,91.53191489361704,462.4503546099291,274.48581560283685,93950.8325,3.12
2016-12-01,54.9,3.5,280791.0,150081.0,2423.52344,670787.0,51.58064516129032,780.4982078853046,307.9569892473118,91.52688172043013,398.9964157706093,227.14336917562724,96416.06528,4.1
2017-01-01,55.01,3.74,291656.0,151984.0,2323.98616,659623.0,54.00337837837838,759.4324324324324,324.5844594594595,94.91554054054056,360.4324324324325,230.3851351351352,95661.24708,4.25
2017-02-01,55.16,3.14,254597.0,139196.0,2751.19905,568781.0,58.74216027874565,821.4947735191638,420.4738675958188,114.54006968641114,449.01742160278746,328.18118466898954,82836.97484,3.67
2017-03-01,55.04,2.68,280567.0,157595.0,4514.08465,672176.0,75.48360655737704,781.1092896174863,494.5218579234973,132.0792349726776,384.1994535519125,347.0191256830601,95214.19971,3.46
2017-04-01,55.09,2.64,238279.0,152698.0,4906.67802,627049.0,98.6426735218509,739.6812339331619,560.9974293059126,164.03598971722366,390.8457583547558,417.012853470437,88562.36959,3.49
2017-05-01,55.11,2.7,244353.0,157786.0,5785.02726,700059.0,101.79458239277652,704.4266365688487,575.7404063205418,151.1331828442438,456.49887133182847,465.5756207674944,98074.11624,3.59
2017-06-01,54.99,2.62,239805.0,154176.0,6115.379,851035.0,97.66222222222224,688.0066666666667,567.5444444444445,134.20888888888888,521.4177777777778,504.40222222222224,117351.49285,3.39
2017-07-01,55.03,2.4,250508.0,160958.0,5569.10622,1081826.0,95.54708520179372,696.5515695067264,565.4730941704036,147.65470852017938,499.6547085201794,493.1165919282511,147041.80253,3.32
2017-08-01,54.91,2.38,247888.0,160868.0,5368.53677,1022019.0,108.36626506024096,668.8578313253012,540.7060240963856,142.7542168674699,503.44096385542167,472.7542168674699,141307.8281,3.24
2017-09-01,54.84,2.12,229444.0,158401.0,5059.44137,859260.0,96.56130790190736,673.8365122615804,486.4795640326976,134.44141689373296,452.93188010899183,408.14713896457766,118131.70524,3.27
2017-10-01,54.67,2.06,241338.0,166590.0,4649.67321,772543.0,61.86176470588235,772.4823529411765,423.6,85.25,534.2058823529412,335.68529411764706,106895.19912,3.24
2017-11-01,54.43,2.53,240314.0,166233.0,3208.74868,666156.0,55.89007092198582,774.6312056737588,352.468085106383,87.7872340425532,449.0851063829787,262.709219858156,95072.30676,3.46
2017-12-01,54.54,3.27,274478.0,170757.0,3035.00469,785029.0,53.27956989247312,767.3655913978495,306.20071684587816,88.50179211469533,424.6774193548387,233.66666666666663,111553.28604,3.75
2018-01-01,54.42,4.41,299891.0,177251.0,3318.97521,786001.0,52.62258064516129,735.4483870967742,313.31290322580645,93.5741935483871,386.40645161290325,232.66451612903225,110441.98208,5.22
2018-02-01,53.95,3.02,237417.0,163444.0,3896.41408,690022.0,63.4655737704918,764.7737704918032,400.1704918032787,108.91475409836066,397.9377049180328,289.4819672131148,98675.2857,3.73
2018-03-01,53.67,2.45,270762.0,183067.0,5056.23832,756528.0,72.48947368421052,763.7605263157894,481.35526315789474,111.72631578947367,461.0605263157895,355.4394736842105,106742.01587,3.29
2018-04-01,53.27,2.2,242264.0,176861.0,6056.72671,703919.0,110.84210526315788,691.8045112781955,545.8696741854636,138.06015037593986,415.9498746867168,406.49122807017545,98671.58527,3.24
2018-05-01,53.68,1.73,227168.0,184857.0,6849.01231,848085.0,105.92207792207792,642.2792207792207,538.952380952381,146.6709956709957,366.3787878787879,393.8160173160173,115564.6383,3.15
2018-06-01,53.78,1.87,228469.0,179799.0,7414.66701,952554.0,104.26222222222222,666.3866666666667,561.3977777777778,133.70888888888888,508.6022222222222,491.8733333333333,131085.72296,3.23
2018-07-01,53.76,2.16,247012.0,189493.0,6754.8758,1223514.0,97.6918103448276,658.6961206896551,543.7068965517242,125.6206896551724,513.1120689655172,474.3362068965517,165075.42624,3.34
2018-08-01,53.89,2.22,237025.0,193315.0,6695.40796,1185530.0,117.056338028169,618.5680751173709,520.1525821596244,137.45305164319248,447.55164319248826,432.5492957746479,162000.63402,3.38
2018-09-01,53.99,2.09,214074.0,190148.0,5960.90148,1029799.0,76.77692307692308,674.525641025641,463.8692307692308,102.1153846153846,452.9307692307692,357.5794871794872,142085.1857,3.22
2018-10-01,53.83,2.61,215128.0,198978.0,4969.69097,887814.0,61.03216374269006,759.7514619883041,419.140350877193,91.22222222222224,421.874269005848,284.9239766081872,123280.44647,3.55
2018-11-01,53.41,4.1,212486.0,195921.0,3742.76491,762951.0,55.60322580645161,704.416129032258,324.5290322580645,87.78387096774193,410.5,246.6387096774193,108265.01201,4.31
2018-12-01,53.51,4.89,257148.0,201460.0,3109.63979,762221.0,56.770609318996414,764.6308243727599,308.75985663082434,84.00358422939068,416.9354838709677,221.88172043010752,109955.09663,4.89
2019-01-01,53.54,4.3,290886.0,207962.0,3580.20841,848519.0,55.62903225806452,732.5096774193548,315.06774193548387,105.48387096774194,378.93870967741935,236.94193548387096,121808.27731,4.13
2019-02-01,53.24,4.06,233344.0,189116.0,3835.77281,779310.0,72.4407894736842,751.7203947368421,403.1480263157895,137.8059210526316,311.17105263157896,272.29605263157896,112397.15916,3.76
2019-03-01,53.03,3.79,252989.0,210337.0,5898.62563,813526.0,78.94473684210526,747.7263157894737,480.12105263157895,128.2421052631579,365.3157894736842,325.5657894736842,116059.14624,3.57
2019-04-01,53.35,2.14,206559.0,204537.0,6752.27638,739680.0,95.79197994987469,722.0401002506266,545.8796992481203,147.9749373433584,453.40852130325817,435.8646616541353,104348.63205,2.98
2019-05-01,52.85,1.81,207651.0,212968.0,7161.89697,836087.0,99.82289416846652,666.5615550755939,547.0971922246221,135.46652267818575,355.1274298056156,374.12095032397406,117296.64899,2.85
2019-06-01,52.61,1.54,201163.0,206667.0,7971.09298,990562.0,92.99111111111112,699.3622222222223,569.1577777777778,127.26,518.5911111111111,486.50444444444446,138087.41868,2.66
2019-07-01,52.54,1.86,230407.0,214733.0,8132.64079,1254667.0,86.4494623655914,682.8516129032258,545.894623655914,119.96344086021506,551.0215053763441,498.6688172043011,172281.64499,2.63
2019-08-01,52.56,1.73,220076.0,219954.0,7876.55371,1277904.0,95.92018779342725,665.4577464788732,525.8474178403756,129.23239436619718,455.3145539906103,430.2981220657277,175270.24757,2.5
2019-09-01,52.64,1.65,208286.0,213673.0,6817.21992,1080775.0,79.39487179487179,662.9076923076923,460.4307692307692,101.24615384615385,538.1589743589743,413.56410256410254,149938.13228,2.68
2019-10-01,52.5,2.15,210537.0,222734.0,6093.46647,936668.0,64.546783625731,768.5058479532164,427.625730994152,83.86549707602339,529.0292397660819,332.4093567251462,131113.37797,2.58
2019-11-01,52.59,2.8,223765.0,219084.0,4363.99289,818868.0,55.68608414239482,703.453074433657,325.06472491909386,76.64077669902913,447.87702265372167,251.2977346278317,117958.72597,3.06
2019-12-01,52.66,3.23,256053.0,226132.0,3453.07527,911529.0,50.22222222222222,774.8745519713261,305.60573476702507,79.83512544802868,455.741935483871,233.2831541218638,131973.42828,3.01
2020-01-01,52.91,2.64,262080.0,239079.0,4458.87743,948931.0,52.55161290322581,723.5612903225806,308.81612903225806,86.8258064516129,425.3354838709677,237.97096774193548,136083.77995,2.71
2020-02-01,53.27,2.04,238328.0,223394.0,5561.4092,893044.0,61.07947019867549,776.7980132450331,400.79801324503313,109.46026490066224,400.0298013245033,286.6291390728477,128017.92848,2.48
2020-03-01,53.76,1.68,213231.0,239233.0,6349.64464,890784.0,72.09448818897638,756.2362204724409,479.3832020997376,113.55380577427822,368.2020997375328,312.78740157480314,126186.58013,2.22
2020-04-01,53.59,1.5,190049.0,225432.0,7920.7291,777804.0,97.18204488778056,722.0049875311721,548.4763092269327,137.4413965087282,507.6009975062344,457.7980049875312,110563.81511,2.18
2020-05-01,53.71,1.63,186518.0,219084.0,9653.40589,837108.0,102.33982683982684,662.3722943722944,547.4545454545455,146.2207792207792,379.7121212121212,403.0194805194805,117185.64596,2.24
2020-06-01,53.84,1.54,187478.0,215040.0,9654.00577,1041101.0,95.46666666666668,692.5844444444444,566.9177777777778,119.27555555555556,547.5533333333333,500.5577777777778,143055.42341,2.09
2020-07-01,53.93,1.65,210419.0,226142.0,10609.77315,1345797.0,90.71428571428572,675.443722943723,546.6233766233767,123.72294372294373,522.8593073593073,483.4177489177489,181568.06361,2.12
2020-08-01,54.01,1.89,211352.0,225412.0,9315.42156,1276048.0,103.47183098591547,652.7347417840375,525.443661971831,122.16431924882627,545.556338028169,483.63380281690144,173644.41702,2.49
2020-09-01,53.8,2.02,174225.0,218375.0,7732.32157,1015907.0,114.0025706940874,580.2699228791773,450.89203084832906,120.16709511568124,487.0025706940874,401.5784061696658,141397.45495,2.5
